Date,Open,High,Low,Close,Adj Close,Volume,Stock
2020-08-12,365.75,368.75,363.75,366.850006,366.850006,25706005.0,ICICI
2020-08-13,368.950012,372.350006,366.25,368.049988,368.049988,26257336.0,ICICI
2020-08-14,371.799988,371.799988,354.200012,361.399994,361.399994,28893259.0,ICICI
2020-08-17,366.0,366.350006,354.350006,360.200012,360.200012,24232497.0,ICICI
2020-08-18,361.899994,370.0,361.600006,369.549988,369.549988,26517363.0,ICICI
2020-08-19,374.0,375.850006,370.399994,374.450012,374.450012,35790233.0,ICICI
2020-08-20,367.0,369.649994,362.600006,367.75,367.75,68444775.0,ICICI
2020-08-21,370.0,373.0,367.049988,371.149994,371.149994,34109928.0,ICICI
2020-08-24,374.850006,381.200012,373.850006,380.350006,380.350006,32907235.0,ICICI
2020-08-25,382.5,389.799988,381.399994,386.350006,386.350006,53072303.0,ICICI
2020-08-26,388.200012,391.649994,384.200012,389.350006,389.350006,37163882.0,ICICI
2020-08-27,389.950012,397.450012,387.600006,392.200012,392.200012,36910405.0,ICICI
2020-08-28,393.899994,411.899994,392.899994,409.700012,409.700012,83472297.0,ICICI
2020-08-31,414.850006,422.0,387.5,394.600006,394.600006,72744175.0,ICICI
2020-09-01,394.700012,399.649994,385.299988,390.950012,390.950012,34872793.0,ICICI
2020-09-02,387.25,394.0,381.100006,392.399994,392.399994,31295799.0,ICICI
2020-09-03,392.399994,392.549988,381.049988,382.75,382.75,26135555.0,ICICI
2020-09-04,375.0,379.950012,368.350006,372.549988,372.549988,33118984.0,ICICI
2020-09-07,374.100006,376.850006,369.0,373.399994,373.399994,22323904.0,ICICI
